Рантайм: 8.0.30
Ярусная компиляция: 0
Готовый машинный код: не задано
Динамический профиль: 0

Партия по 200 вызовов, тики на партию:

  партия   1  6,381
  партия   2  135
  партия   3  135
  партия   4  136
  партия   5  135
  партия   6  136
  партия   7  135
  партия   8  135
  партия   9  136
  партия  10  135
  партия  11  135
  партия  12  135
  партия  13  135
  партия  14  136
  партия  15  135
  партия  16  135
  партия  17  136
  партия  18  135
  партия  19  136
  партия  20  135
  партия  21  135
  партия  22  136
  партия  23  135
  партия  24  135
  партия  25  135
  партия  26  135
  партия  27  135
  партия  28  136
  партия  29  135
  партия  30  136
  партия  31  135
  партия  32  135
  партия  33  136
  партия  34  135
  партия  35  135
  партия  36  135
  партия  37  135
  партия  38  136
  партия  39  135
  партия  40  135

Первая партия: 6381
Последняя партия: 135
Отношение: 47.27
