Рантайм: 8.0.11
Ярусная компиляция: 0
Готовый машинный код: не задано
Динамический профиль: 0

Партия по 200 вызовов, тики на партию:

  партия   1  7,920
  партия   2  255
  партия   3  255
  партия   4  254
  партия   5  255
  партия   6  255
  партия   7  255
  партия   8  255
  партия   9  254
  партия  10  254
  партия  11  254
  партия  12  255
  партия  13  255
  партия  14  256
  партия  15  256
  партия  16  255
  партия  17  255
  партия  18  255
  партия  19  254
  партия  20  254
  партия  21  255
  партия  22  256
  партия  23  254
  партия  24  255
  партия  25  277
  партия  26  254
  партия  27  254
  партия  28  255
  партия  29  255
  партия  30  255
  партия  31  255
  партия  32  255
  партия  33  254
  партия  34  255
  партия  35  255
  партия  36  255
  партия  37  255
  партия  38  254
  партия  39  254
  партия  40  255

Первая партия: 7920
Последняя партия: 255
Отношение: 31.06
