Рантайм: 10.0.1
Ярусная компиляция: 0
Готовый машинный код: не задано
Динамический профиль: 0

Партия по 200 вызовов, тики на партию:

  партия   1  13,891
  партия   2  265
  партия   3  255
  партия   4  255
  партия   5  255
  партия   6  255
  партия   7  255
  партия   8  256
  партия   9  255
  партия  10  255
  партия  11  255
  партия  12  256
  партия  13  255
  партия  14  256
  партия  15  255
  партия  16  256
  партия  17  255
  партия  18  256
  партия  19  255
  партия  20  256
  партия  21  255
  партия  22  256
  партия  23  255
  партия  24  256
  партия  25  255
  партия  26  256
  партия  27  255
  партия  28  256
  партия  29  255
  партия  30  256
  партия  31  255
  партия  32  256
  партия  33  255
  партия  34  255
  партия  35  255
  партия  36  256
  партия  37  255
  партия  38  255
  партия  39  255
  партия  40  256

Первая партия: 13891
Последняя партия: 256
Отношение: 54.26
