Рантайм: 10.0.1
Ярусная компиляция: 0
Готовый машинный код: не задано
Динамический профиль: 0

Партия по 200 вызовов, тики на партию:

  партия   1  16,747
  партия   2  245
  партия   3  242
  партия   4  243
  партия   5  242
  партия   6  243
  партия   7  241
  партия   8  242
  партия   9  242
  партия  10  242
  партия  11  243
  партия  12  242
  партия  13  241
  партия  14  242
  партия  15  243
  партия  16  241
  партия  17  334
  партия  18  394
  партия  19  241
  партия  20  242
  партия  21  241
  партия  22  241
  партия  23  242
  партия  24  241
  партия  25  242
  партия  26  243
  партия  27  242
  партия  28  242
  партия  29  242
  партия  30  243
  партия  31  242
  партия  32  243
  партия  33  242
  партия  34  241
  партия  35  241
  партия  36  242
  партия  37  244
  партия  38  243
  партия  39  242
  партия  40  243

Первая партия: 16747
Последняя партия: 243
Отношение: 68.92
